15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Update E:\appservices\invoke-ctxdevice\Files\processed\matthias-ctx-maint\Job00000227.json
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Action: ReInstall_Finished
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Remark: VM runs on NTXCluster01.euclab.com
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | User: matthias-ctx-maint
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | VM: VDW041VD78003
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | ENV: DEV
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Date: 15.05.2019
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Time: 09:59:26
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Outfile: E:\appservices\invoke-ctxdevice\Files\processed\matthias-ctx-maint\Job00000227.json
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Your entered VM VDW041VD78003 is detected on the cluster NTXCluster01.euclab.com
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | VM: VDW041VD78002 - Host VSL041AHV1001 - Cluster: NTXCluster01.euclab.com
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | VM: VDW041VD78001 - Host VSL041AHV1003 - Cluster: NTXCluster01.euclab.com
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Connect to Cluster NTX041CL2001.euclab.com
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Location: 041
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | DataCenter: 2
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | DTAP Stage: DEV
15.05.2019 09:59:26 | matthias-CTX-Maint | INFORMATION... | Searchstring: VDW041VD79
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | List all Devices based on searchstring VDW041VD79
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | VM: VDW041VD79003 - Host VSL041AHV2004 - Cluster: NTX041CL2001.euclab.com
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | VM: VDW041VD79001 - Host VSL041AHV2001 - Cluster: NTX041CL2001.euclab.com
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | VM: VDW041VD79002 - Host VSL041AHV2001 - Cluster: NTX041CL2001.euclab.com
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | Connect to Ivanti DSM
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | User: dachser-ds\matthias-CTX-Maint
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | PwdFile: E:\appservices\ntx-config\pwd\AES_PASSWORD_FILE_DSM.txt
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | KeyFile: E:\appservices\ntx-config\pwd\AES_KEY_FILE_DSM.key
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | DSMServer: dmw041bls01:8080
15.05.2019 09:59:27 | matthias-CTX-Maint | INFORMATION... | URI: http://dmw041bls01:8080/blsAdministration/AdministrationService.asmx?WDSL
15.05.2019 09:59:28 | matthias-CTX-Maint | INFORMATION... |  --- Logfile is updated ---
15.05.2019 09:59:28 | matthias-CTX-Maint | INFORMATION... | current Logfile: E:\appservices\invoke-ctxdevice\Files\processed\matthias-ctx-maint\VWM00000227.log 
