14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Cleaning Logfile (VWM*) in E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint and keep the last 20 Logs
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Cleaning Logfile (job*) in E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint and keep the last 20 Logs
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Processing file E:\appservices\invoke-ctxdevice\Files\request\matthias-maint_20190514-153308.json
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | User: matthias-maint
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | VM: VDW041VD78001
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Action: ReInstall_Finished
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | PreFix: 
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Model: 
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | DesktopGroupName: 
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Environemnt: 
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Move File from E:\appservices\invoke-ctxdevice\Files\request\matthias-maint_20190514-153308.json to E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\Job00000223.json
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | split up VM name VDW041VD78001 in different components to trigger the action
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | PreFix: VDW
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Locationx: 041
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | ProductShortname: VD
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Version: 7
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | DataCenter: 8
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | DTAP identifier: 0
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | DTAP Stage: DEV
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Model: persistent
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Read Global Config from E:\appservices\ntx-config\config\Global\Global.json
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Read PreFix Config from E:\appservices\ntx-config\config\Global\VDW.json
14.05.2019 15:33:12 | matthias-Maint | INFORMATION... | Check Config-Files in Folder E:\appservices\ntx-config\config\persistent\VDW
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Test E:\appservices\ntx-config\config\persistent\VDW\VDI002-DEV.json
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Success: E:\appservices\ntx-config\config\persistent\VDW\VDI002-DEV.json:8:					Model: "Persistent",
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Starting Script E:\appservices\invoke-ctxdevice\Invoke-CTXDevice.ps1 -VMName VDW041VD78001 -PreFix VDW -Model persistent -Action ReInstall_Finished -DTAP DEV -Job E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\Job00000223.json -User matthias-maint -FileWatcher 
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Checking Prerequisites
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Logfile would be set to E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\VWM00000223.log
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Cleaning Logfile () in E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint and keep the last 30 Logs
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Citrix Provisioning Server Powershell SnapIn already loaded
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Nutanix Powershell SnapIn already loaded
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Update E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\Job00000223.json
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Action: ReInstall_Finished
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | Remark: Backend process starting...
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | User: matthias-maint
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | VM: VDW041VD78001
14.05.2019 15:33:13 | matthias-Maint | INFORMATION... | ENV: DEV
