15.05.2019 10:24:33 | matthias | INFORMATION... | VM: VDW041VD78002 - Host VSL041AHV1001 - Cluster: NTXCluster01.euclab.com
15.05.2019 10:24:33 | matthias | INFORMATION... | VM: VDW041VD78001 - Host VSL041AHV1003 - Cluster: NTXCluster01.euclab.com
15.05.2019 10:24:33 | matthias | INFORMATION... | Connect to Cluster NTXCluster01.euclab.com
15.05.2019 10:24:33 | matthias | INFORMATION... | Location: 041
15.05.2019 10:24:33 | matthias | INFORMATION... | DataCenter: 2
15.05.2019 10:24:33 | matthias | INFORMATION... | DTAP Stage: DEV
15.05.2019 10:24:33 | matthias | INFORMATION... | Searchstring: VDW041VD79
15.05.2019 10:24:36 | matthias | INFORMATION... | List all Devices based on searchstring VDW041VD79
15.05.2019 10:24:36 | matthias | INFORMATION... | VM: VDW041VD79003 - Host VSL041AHV2004 - Cluster: NTXCluster01.euclab.com
15.05.2019 10:24:36 | matthias | INFORMATION... | VM: VDW041VD79001 - Host VSL041AHV2001 - Cluster: NTXCluster01.euclab.com
15.05.2019 10:24:36 | matthias | INFORMATION... | Update E:\appservices\invoke-ctxdevice\Files\processed\matthias\Job00000229.json
15.05.2019 10:24:36 | matthias | INFORMATION... | Action: ReInstall_Finished
15.05.2019 10:24:36 | matthias | INFORMATION... | Remark: VM runs on NTXCluster01.euclab.com
15.05.2019 10:24:36 | matthias | INFORMATION... | User: matthias
15.05.2019 10:24:36 | matthias | INFORMATION... | VM: VDW041VD79001
15.05.2019 10:24:36 | matthias | INFORMATION... | ENV: DEV
15.05.2019 10:24:36 | matthias | INFORMATION... | Date: 15.05.2019
15.05.2019 10:24:36 | matthias | INFORMATION... | Time: 10:24:36
15.05.2019 10:24:36 | matthias | INFORMATION... | Outfile: E:\appservices\invoke-ctxdevice\Files\processed\matthias\Job00000229.json
15.05.2019 10:24:36 | matthias | INFORMATION... | Your entered VM VDW041VD79001 is detected on the cluster NTXCluster01.euclab.com
15.05.2019 10:24:36 | matthias | INFORMATION... | VM: VDW041VD79002 - Host VSL041AHV2001 - Cluster: NTXCluster01.euclab.com
15.05.2019 10:24:36 | matthias | INFORMATION... | Connect to Ivanti DSM
15.05.2019 10:24:36 | matthias | INFORMATION... | User: dachser-ds\matthias
15.05.2019 10:24:36 | matthias | INFORMATION... | PwdFile: E:\appservices\ntx-config\pwd\AES_PASSWORD_FILE_DSM.txt
15.05.2019 10:24:36 | matthias | INFORMATION... | KeyFile: E:\appservices\ntx-config\pwd\AES_KEY_FILE_DSM.key
15.05.2019 10:24:36 | matthias | INFORMATION... | DSMServer: dmw041bls01:8080
15.05.2019 10:24:36 | matthias | INFORMATION... | URI: http://dmw041bls01:8080/blsAdministration/AdministrationService.asmx?WDSL
15.05.2019 10:24:37 | matthias | INFORMATION... |  --- Logfile is updated ---
15.05.2019 10:24:37 | matthias | INFORMATION... | current Logfile: E:\appservices\invoke-ctxdevice\Files\processed\matthias\VWM00000229.log 
